Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,Inp_IchimokuFilter_Enabled,InpRange1_ATR_Period,InpRange1_ATR_Multiplier,InpRange1_SL_ATR_Period,InpRange1_SL_ATR_Multiplier,InpRange1_Trailing_ATR_Period,InpRange1_Trailing_ATR_Multiplier,InpRange1_RR_Ratio,InpRange1_PartialClosePercent
418,585.00,6771.74,5.95056,1.15495,3.15057,2.12388,585,25.12,1138,false,131,2.9,125,2.5,30,1.6,3.3,11
726,580.00,5240.95,5.06862,1.15877,2.64775,2.83442,580,21.69,1034,true,126,1.5,108,1.75,28,1,2.85,66
194,574.00,6683.27,5.51880,1.18371,3.12110,2.82422,574,25.40,1211,false,54,2.7,131,1.75,91,2.4,1.8,11
641,571.00,6960.55,7.15370,1.15050,2.48508,1.93731,571,24.12,973,true,73,2.3,88,2.35,25,2,3.9,6
250,563.00,5173.02,5.59851,1.16739,1.96303,1.62034,563,51.96,924,true,125,3.1,79,1.75,124,1.4,3.75,1
423,562.00,5058.40,4.72306,1.12230,2.44281,2.09520,562,20.44,1071,true,41,1.5,108,2.65,37,2.1,2.4,71
642,561.00,4647.29,4.10176,1.14590,2.48528,3.10651,561,29.87,1133,true,96,1.9,113,2.2,88,1.9,1.5,51
413,561.00,4647.29,4.10176,1.14590,2.48528,3.10651,561,29.87,1133,true,96,1.9,113,2.2,15,1.9,1.5,51
33,560.00,5670.84,5.76305,1.13345,2.61854,1.84523,560,21.79,984,true,124,2.9,85,2.65,118,2.8,3.45,31
1325,555.00,6528.43,6.48305,1.15752,2.61971,2.16524,555,24.87,1007,true,104,2.3,24,2.35,20,2.1,3.3,26
714,554.00,6657.91,5.25072,1.14973,2.98139,2.95340,554,20.66,1268,false,121,1.5,68,2.2,95,1.7,2.1,66
1115,547.00,9120.57,7.18721,1.21228,2.84950,3.20977,547,44.25,1269,false,33,1.9,42,1.45,135,2.8,1.8,41
1056,547.00,7135.03,5.87729,1.17144,2.29972,2.99790,547,32.04,1214,false,96,2.9,59,1.6,102,2.6,1.8,16
232,546.00,5655.67,5.00059,1.15946,2.33160,2.11856,546,48.31,1131,false,51,2.7,126,1.6,28,2.7,3.45,76
686,545.00,5197.61,5.08075,1.14369,2.77785,1.94174,545,21.52,1023,true,140,2.3,128,2.5,123,2,3.15,21
858,543.00,6648.42,6.73599,1.14885,2.06356,1.91334,543,28.56,987,true,44,2.1,108,2.05,15,2.3,4.05,16
282,543.00,4894.11,3.89969,1.11681,3.15696,2.03254,543,29.04,1255,false,138,2.1,19,2.95,116,2.7,2.1,56
474,542.00,5678.99,5.70180,1.14652,2.58156,1.79906,542,22.80,996,true,131,2.3,62,2.35,90,2.6,3.75,6
1305,541.00,6685.58,6.71243,1.15362,2.10712,1.75780,541,26.88,996,true,58,1.9,7,2.2,107,2.6,4.05,6
500,541.00,4871.37,4.25447,1.12437,2.06331,2.59049,541,28.12,1145,false,97,3.1,29,1.45,51,1.5,2.55,26
100,541.00,5879.52,4.81139,1.14306,2.82443,2.21029,541,21.99,1222,false,125,2.1,118,2.5,131,1.1,2.7,46
939,537.00,5534.10,4.93675,1.12746,2.39182,1.96526,537,28.42,1121,false,99,2.7,111,1.75,82,1.4,3.75,71
593,534.00,6021.83,6.06428,1.13491,2.66247,2.16676,534,24.70,993,true,54,2.3,75,1.9,40,1.9,3.45,31
392,528.00,10340.14,8.99143,1.16658,2.17002,3.35190,528,34.44,1150,false,42,3.1,27,1.3,104,3,2.25,26
58,528.00,5485.58,4.79090,1.12851,2.50877,2.13822,528,25.51,1145,false,14,3.1,12,2.2,118,1.3,2.7,56
947,527.00,4949.38,4.74533,1.15818,2.72511,3.44898,527,23.30,1043,true,39,3.1,109,1.6,48,1.6,1.65,91
815,523.00,6216.45,6.16100,1.15635,2.74763,2.17764,523,23.51,1009,true,112,2.3,88,2.35,25,1.5,3.3,16
772,522.00,7218.47,6.21211,1.14796,2.45031,2.38615,522,26.79,1162,false,125,1.7,86,1.75,131,1.1,4.05,71
933,522.00,6452.29,5.21608,1.14893,2.62448,2.81383,522,26.12,1237,false,59,2.3,120,1.6,79,2.9,1.8,46
123,522.00,7070.53,6.05872,1.14572,2.72093,2.03301,522,23.78,1167,false,120,2.7,17,2.8,108,2.9,2.7,6
814,515.00,4987.99,4.99799,1.13705,2.37844,1.96076,515,33.92,998,true,38,1.9,42,1.75,140,1.7,3.6,76
122,515.00,8204.76,6.91801,1.15461,2.54570,2.90225,515,26.14,1186,false,116,1.7,84,1.75,120,1.2,3.45,51
217,514.00,8141.00,8.30714,1.15690,1.60043,2.41815,514,35.46,980,true,5,2.7,11,2.05,38,1.4,3.75,71
631,511.00,6461.47,5.19829,1.16249,2.89476,3.06577,511,22.06,1243,false,47,2.5,16,2.35,28,1.2,1.8,81
612,507.00,4922.07,4.25049,1.12602,1.87974,2.92983,507,40.12,1158,false,95,3.1,100,1.45,85,1.6,2.25,96
439,507.00,4922.07,4.25049,1.12602,1.87974,2.92983,507,40.12,1158,false,95,3.1,100,1.45,130,1.6,2.25,96
919,502.00,5380.47,5.41295,1.12987,2.30848,1.81685,502,24.00,994,true,38,2.5,16,2.35,28,1.3,3.45,46
365,500.00,5697.74,4.50059,1.14696,3.31470,2.48471,500,29.02,1266,false,40,1.9,54,2.35,96,1.5,1.95,36
549,498.00,7234.24,5.55625,1.17673,2.65873,3.55313,498,24.20,1302,false,113,1.5,19,1.75,103,2.6,1.5,66
705,494.00,4588.06,4.37792,1.13265,2.18417,1.78312,494,32.93,1048,true,48,1.9,114,1.75,127,2.9,2.7,6
270,494.00,7772.72,6.96480,1.18096,2.71814,3.16218,494,23.67,1116,true,3,2.1,35,2.95,107,3,1.65,91
434,494.00,4933.21,4.49700,1.14945,2.27156,2.70292,494,21.92,1097,true,8,2.3,88,2.5,76,1.8,1.5,96
130,490.00,5680.30,4.47268,1.12873,1.95011,2.33346,490,27.42,1270,false,59,1.7,108,2.2,86,2.1,1.95,36
556,488.00,8807.48,7.65202,1.15064,1.95687,2.40148,488,34.14,1151,false,113,2.3,15,2.2,130,1,3.75,61
383,488.00,6317.75,5.75912,1.15374,2.81898,1.32821,488,43.54,1097,false,102,2.3,80,2.65,136,2.9,3.15,1
353,486.00,5823.37,4.46578,1.17184,3.33227,3.28862,486,32.56,1304,false,132,2.3,111,2.5,41,1.4,1.5,76
183,480.00,6243.75,5.61994,1.14489,2.24578,1.44934,480,27.89,1111,false,121,2.3,109,2.2,88,2.4,3.6,1
90,480.00,4805.46,4.54632,1.13370,2.15464,3.18142,480,23.41,1057,true,95,3.1,10,2.05,114,1,1.8,26
39,480.00,5440.66,4.08458,1.12965,2.23918,2.47808,480,31.29,1332,false,45,1.5,108,2.2,35,2.4,1.5,26
460,478.00,8274.01,7.23253,1.14313,2.21801,1.98341,478,26.55,1144,false,87,2.3,113,2.8,68,2.7,3.45,76
1676,475.00,7300.49,8.61923,1.14736,1.84777,2.16130,475,32.18,847,true,6,1.5,7,2.35,77,1.4,3.6,101
786,474.00,6598.07,6.48778,1.16742,2.38315,2.20217,474,38.11,1017,true,35,1.7,48,2.2,23,1,3.3,21
80,474.00,5063.32,4.14686,1.14058,3.32665,2.32990,474,29.18,1221,false,8,2.9,118,2.8,140,1.5,1.65,96
1893,473.00,29405.85,35.38610,1.31017,3.00459,5.74653,473,32.39,831,true,2,1.7,63,1.75,23,1.4,3.6,101
244,471.00,7040.73,7.03370,1.14767,1.80096,2.26337,471,33.20,1001,true,24,2.3,35,1.9,16,3,3.45,66
390,469.00,4160.71,3.84895,1.13646,2.52152,3.37742,469,20.54,1081,true,83,2.9,38,1.75,108,1.1,1.5,61
466,468.00,5750.34,4.99162,1.13674,1.99476,2.79114,468,30.23,1152,false,50,3.1,45,1.45,81,2.6,2.1,61
331,466.00,5019.01,4.51350,1.14825,2.44324,2.81923,466,22.45,1112,true,68,1.9,16,2.05,81,1.5,1.8,11
266,465.00,8269.05,7.76437,1.19173,1.67634,2.89753,465,36.41,1065,true,20,3.1,76,2.65,92,2.9,1.8,16
354,464.00,5802.13,5.08513,1.13775,2.90355,2.26338,464,23.50,1141,false,94,2.7,64,1.9,57,1.1,3.15,51
2008,463.00,7360.69,7.56494,1.16683,1.49387,2.96286,463,41.48,973,true,29,2.9,10,1.3,77,2.1,3.3,26
637,458.00,6145.43,4.87733,1.14280,2.51801,3.00972,458,25.56,1260,false,77,1.9,118,1.6,115,1.4,1.95,26
314,458.00,6608.10,6.72238,1.18775,2.32902,1.77636,458,26.67,983,true,45,2.5,25,2.5,82,2.5,1.8,1
1,453.00,6326.85,5.00146,1.16192,3.05809,3.15204,453,20.11,1265,false,64,2.3,117,2.35,124,1.3,1.65,66
734,450.00,5424.82,5.33939,1.14169,2.27088,2.13680,450,38.47,1016,true,55,1.5,114,1.75,62,1.9,3.45,31
1524,449.00,8882.60,8.40360,1.20766,2.06958,3.53650,449,31.60,1057,true,4,2.9,130,2.2,45,1.3,1.8,11
409,448.00,4841.83,4.92056,1.12936,1.99152,1.98409,448,25.21,984,true,89,2.9,108,2.5,84,2.5,2.85,96
281,448.00,6566.12,5.57396,1.13803,1.99390,1.91429,448,30.34,1178,false,40,1.7,82,2.2,119,1.3,3.45,26
298,447.00,5003.03,4.68888,1.14340,1.78160,2.26805,447,41.21,1067,true,131,1.9,100,2.05,99,2.8,2.4,6
14,447.00,5032.56,4.07825,1.11247,2.50264,1.73208,447,21.99,1234,false,33,1.7,113,2.65,30,1.9,2.4,31
596,445.00,5746.06,5.78657,1.14729,2.22201,1.88382,445,26.76,993,true,131,2.3,62,2.35,90,1.8,3.9,31
27,442.00,4921.96,4.51971,1.14854,2.80323,2.81576,442,28.26,1089,true,55,2.1,92,2.2,139,1.4,1.8,86
43,440.00,6730.58,5.79224,1.16315,1.99579,3.03023,440,31.22,1162,false,48,3.1,130,1.9,16,1.2,2.25,16
351,439.00,5598.86,4.65022,1.13256,2.80940,1.87045,439,35.89,1204,false,57,1.9,104,2.35,56,1.6,2.85,56
1421,436.00,7628.28,6.51433,1.13927,1.70507,2.24332,436,31.39,1171,false,128,1.7,13,2.35,128,1,3.6,96
9,435.00,8659.82,7.76666,1.15711,1.79112,1.90254,435,32.63,1115,false,100,2.5,74,2.8,137,3,4.05,81
1580,433.00,6069.33,4.94245,1.14833,2.56160,2.77654,433,39.15,1228,false,113,1.7,105,1.9,17,1,2.55,61
561,431.00,4977.89,4.03395,1.12769,2.56112,2.02952,431,21.72,1234,false,62,2.1,113,2.65,29,1.9,2.1,86
332,426.00,6017.84,5.24202,1.13419,1.79381,2.36088,426,33.01,1148,false,38,3.1,58,2.05,47,2.2,2.55,46
224,424.00,5008.06,4.22621,1.12844,2.18859,2.52194,424,25.12,1185,false,84,3.1,96,1.9,128,2.4,1.95,56
1666,423.00,5913.74,4.81967,1.13734,2.10231,2.40592,423,28.44,1227,false,138,1.5,109,1.9,122,2.2,2.7,41
452,423.00,5358.58,5.39635,1.11695,2.49151,2.01316,423,20.76,993,false,36,1.5,10,2.65,70,1.6,2.4,101
272,422.00,7176.31,6.49440,1.13414,2.23819,2.14041,422,30.71,1105,false,58,2.5,104,1.75,55,1.6,4.05,41
748,421.00,5181.98,5.18717,1.12706,2.28254,1.70167,421,23.31,999,true,80,2.1,34,2.2,91,2.5,3.75,56
146,415.00,6203.34,6.59930,1.15326,2.37438,1.62396,415,27.42,940,true,105,2.7,60,2.2,118,2,4.05,1
743,414.00,6669.13,6.23866,1.15128,2.15780,2.33464,414,27.79,1069,true,6,1.5,136,2.65,132,2.1,2.4,36
490,410.00,5452.05,5.55199,1.12256,1.52006,1.91601,410,33.71,982,true,20,2.3,65,1.75,55,1.9,4.05,86
319,409.00,6083.43,5.20396,1.13481,1.99095,2.23155,409,30.79,1169,false,22,3.1,17,2.5,134,2.1,2.4,91
2182,403.00,19275.26,19.02790,1.28431,2.82527,4.98159,403,33.94,1013,true,2,2.5,57,1.9,35,2.5,2.7,76
1215,402.00,5505.78,4.42587,1.13290,2.45471,2.37090,402,34.88,1244,false,59,1.9,62,2.05,40,1.7,2.25,66
807,402.00,5788.38,4.70983,1.14074,2.76312,2.47925,402,20.54,1229,false,103,1.7,22,2.05,15,1.5,2.55,51
1122,401.00,4865.71,4.82231,1.12462,1.91556,1.73042,401,26.61,1009,true,17,2.1,106,2.2,117,2.1,3.45,91
518,401.00,5938.16,4.72032,1.12244,2.55653,2.20621,401,20.55,1258,false,43,1.5,108,2.65,37,1.7,2.25,66
1360,398.00,6075.78,5.05893,1.13337,1.87434,2.26459,398,28.00,1201,false,129,2.5,83,2.65,30,1,2.55,36
376,393.00,4949.84,4.20190,1.11558,2.28613,1.68440,393,23.12,1178,false,34,2.1,53,2.2,16,1.6,3.15,91
238,393.00,4330.01,3.33078,1.11111,2.41739,2.25053,393,20.36,1300,false,81,1.7,57,2.2,56,3,1.5,96
396,390.00,5543.63,4.93645,1.13236,1.88785,2.52292,390,33.47,1123,false,63,3.1,87,1.6,41,1.9,2.85,31
1293,386.00,6655.42,7.88557,1.15472,2.26897,2.56758,386,26.97,844,true,4,1.5,7,2.35,137,1,2.7,101
688,385.00,7265.48,6.37323,1.14139,1.74755,2.33325,385,36.78,1140,false,28,3.1,76,2.5,112,2.2,2.85,96
725,384.00,6364.97,4.82195,1.14562,2.54306,2.82283,384,23.07,1320,false,6,1.5,122,2.2,132,2,1.5,66
861,381.00,6109.51,6.04902,1.15338,2.11106,2.76703,381,42.68,1010,true,108,1.7,56,1.3,43,1.6,3.6,21
548,372.00,6078.40,5.16871,1.13146,2.07650,1.78454,372,29.15,1176,false,27,1.7,62,2.2,137,1.2,3.6,51
230,372.00,6171.39,5.13854,1.14490,2.19343,2.80458,372,29.44,1201,false,32,3.1,23,2.2,100,1.2,1.95,31
1578,371.00,6492.77,7.94709,1.14256,1.80151,2.21561,371,32.34,817,true,6,2.9,18,2.05,46,1.4,3.6,101
330,364.00,5163.18,5.28473,1.12301,1.59599,1.53884,364,30.58,977,true,16,2.7,32,2.5,54,2.9,3.6,36
231,364.00,4922.94,4.91802,1.12116,1.82853,1.71782,364,36.89,1001,true,84,1.7,133,2.2,60,1.6,3.9,71
86,364.00,6614.88,6.77060,1.13297,2.15042,1.81469,364,23.68,977,true,63,1.9,127,2.5,83,2.1,4.05,96
469,358.00,4802.61,3.73453,1.12220,1.97027,2.15611,358,27.14,1286,false,111,2.1,96,2.05,104,2.4,1.8,6
334,357.00,7323.03,7.89971,1.12625,1.62704,2.52912,357,34.73,927,false,57,2.9,97,1.6,56,1,4.05,101
1531,356.00,13558.15,12.99919,1.22163,2.95682,4.40837,356,26.92,1043,true,2,2.9,130,2.2,45,1.5,2.55,96
848,353.00,4325.18,4.26967,1.12268,2.45801,1.74089,353,20.30,1013,true,53,2.3,92,2.5,136,2.5,2.7,96
79,346.00,6061.60,5.02620,1.14666,2.15069,2.58929,346,46.83,1206,false,124,1.5,59,1.75,78,1.2,3,46
1939,343.00,5412.30,5.11560,1.11751,1.71603,1.99476,343,26.90,1058,true,12,1.5,7,2.5,95,2.9,2.4,66
337,343.00,5492.38,5.60447,1.12657,1.23650,2.33252,343,38.04,980,true,50,2.9,91,1.9,46,1.4,3.3,91
335,342.00,4378.04,3.50805,1.11609,2.00440,1.96713,342,25.52,1248,false,25,2.7,106,2.35,92,2.6,1.8,61
478,341.00,5898.38,5.70443,1.15943,1.61757,3.19492,341,34.04,1034,true,51,3.1,91,2.2,80,1,1.95,26
1626,340.00,4301.93,4.42131,1.11027,2.26076,1.56195,340,37.14,973,false,35,2.1,30,2.35,58,1.5,3,101
2034,339.00,6436.24,5.47299,1.14256,2.14517,2.08447,339,28.98,1176,false,113,1.5,54,2.05,42,1,3.75,46
1152,335.00,4559.51,4.81978,1.13165,1.93053,1.36039,335,44.82,946,true,96,2.7,128,1.75,88,2.9,3.6,1
1265,333.00,6316.87,6.35500,1.13997,1.50491,2.22021,333,38.71,994,true,21,2.5,117,1.9,17,1.3,3.45,46
693,328.00,6251.79,5.41750,1.13257,1.81828,2.17265,328,34.34,1154,false,28,3.1,127,2.5,70,2,2.7,76
614,328.00,4157.96,3.88232,1.10719,2.11407,1.66760,328,21.24,1071,true,41,1.5,108,2.65,37,2.6,2.4,26
1909,327.00,16068.02,19.24314,1.24138,2.62708,4.21684,327,33.86,835,true,2,1.5,22,2.05,15,2,3.45,101
568,327.00,4473.13,4.14947,1.12130,1.67391,2.07897,327,27.33,1078,true,83,1.7,11,2.5,29,2.1,2.25,21
564,327.00,2833.79,3.40191,1.08184,1.69870,1.49118,327,22.23,833,true,33,2.5,139,2.2,50,1.4,2.7,101
345,326.00,5920.55,5.27678,1.12512,2.12272,2.02257,326,29.34,1122,false,138,2.9,72,2.2,52,1.1,3.6,76
340,322.00,6529.28,5.38720,1.14778,1.93325,2.49976,322,33.32,1212,false,32,3.1,28,2.5,78,2.5,1.8,31
494,319.00,8360.80,7.64241,1.13407,1.53392,2.41725,319,40.86,1094,false,15,3.1,139,1.75,88,2.1,4.05,61
106,318.00,5142.35,4.61197,1.10990,2.11129,1.52069,318,26.12,1115,false,99,2.7,98,2.5,38,1.1,3.9,36
199,318.00,3654.04,3.42781,1.12020,1.45826,2.09882,318,31.88,1066,true,58,2.7,22,2.05,129,2.6,1.8,41
82,318.00,4525.47,4.12531,1.13800,2.38230,2.34284,318,21.66,1097,true,64,2.1,45,2.65,110,1.5,1.8,26
249,317.00,5993.60,6.19814,1.14162,2.05441,1.68572,317,26.50,967,true,54,2.5,47,2.95,68,2.2,3.6,26
502,316.00,4004.89,3.80331,1.12020,1.99807,1.78786,316,25.68,1053,true,16,2.3,129,2.05,89,1.7,2.25,6
205,316.00,7027.36,7.21495,1.14266,1.60816,2.40454,316,37.36,974,true,48,2.5,41,1.9,109,1.5,3.75,81
969,315.00,5815.16,5.08318,1.14647,1.60395,2.55210,315,40.76,1144,true,43,1.5,73,2.2,116,3,1.5,16
326,314.00,3787.21,3.20678,1.10382,2.37487,1.69583,314,20.97,1181,false,81,2.9,107,2.5,51,1.7,2.25,21
425,312.00,4763.39,3.92049,1.10685,2.22365,1.71399,312,22.75,1215,false,128,2.1,139,2.8,64,2.2,2.7,56
2187,311.00,10120.80,8.32988,1.16350,1.80145,2.65896,311,39.75,1215,false,2,2.1,119,2.8,101,2.1,2.7,41
521,310.00,7004.01,6.03794,1.13319,1.96803,1.90646,310,28.24,1160,false,94,2.1,128,2.65,77,2.3,3.45,96
660,306.00,5506.12,5.61276,1.12360,1.70325,2.39304,306,31.65,981,true,130,3.1,47,2.05,38,1,3.3,36
346,304.00,4266.13,3.99077,1.10592,1.96721,2.04959,304,21.13,1069,true,129,1.7,40,2.8,129,1.9,2.4,46
84,304.00,6254.52,5.34118,1.14302,2.07475,1.94990,304,31.57,1171,false,117,1.5,75,1.9,18,2.5,3.9,86
2066,303.00,5573.78,5.34399,1.15670,2.35693,2.76973,303,39.36,1043,true,118,1.5,119,1.75,36,2.5,2.7,96
118,302.00,5360.05,5.13907,1.14715,1.72430,2.76643,302,31.18,1043,true,60,3.1,123,2.5,126,1.3,1.95,61
120,300.00,6119.79,5.93578,1.12900,1.37040,2.07594,300,34.72,1031,true,13,1.5,41,2.5,46,1.4,3,41
400,299.00,3088.93,2.79794,1.09656,1.84038,1.84553,299,21.30,1104,true,122,1.9,79,2.8,25,2.8,1.8,76
1706,296.00,5102.36,4.67249,1.13808,2.29890,2.70733,296,22.12,1092,true,10,1.5,79,1.9,65,2,1.8,96
489,295.00,6763.64,6.39285,1.14940,1.90860,2.39007,295,28.63,1058,true,5,1.7,129,2.95,124,1.6,2.4,61
618,292.00,4673.70,3.97086,1.11062,2.07046,1.75884,292,24.58,1177,false,120,2.7,17,2.8,108,2.3,2.55,71
344,289.00,4302.37,3.49218,1.12607,1.80232,1.85744,289,29.34,1232,false,12,2.7,64,2.5,140,2,1.8,26
975,285.00,6071.25,5.18467,1.13019,1.57683,1.98032,285,34.52,1171,false,131,2.3,46,2.35,90,1,3.3,21
