Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,Inp_IchimokuFilter_Enabled,InpRange2_ATR_Period,InpRange2_ATR_Multiplier,InpRange2_SL_ATR_Period,InpRange2_SL_ATR_Multiplier,InpRange2_Trailing_ATR_Period,InpRange2_Trailing_ATR_Multiplier,InpRange2_RR_Ratio,InpRange2_PartialClosePercent
2264,488.00,6377.48,7.57420,1.16134,2.77451,2.69153,488,18.93,842,false,104,2.88,20,1.65,129,1.2,2.4,56
2363,488.00,5106.63,7.31609,1.22478,3.49480,2.45537,488,23.55,698,false,13,2.76,105,1.5,15,1.2,2.4,56
2357,488.00,6377.48,7.57420,1.16134,2.77451,2.69153,488,18.93,842,false,104,2.88,49,1.65,55,1.2,2.4,56
1980,488.00,6377.48,7.57420,1.16134,2.77451,2.69153,488,18.93,842,false,104,2.88,62,1.65,36,1.2,2.4,56
2343,487.00,5164.44,6.57053,1.17465,2.83703,2.20062,487,25.94,786,false,42,2.88,94,1.5,66,1.3,2.7,6
2686,486.00,4030.19,5.68433,1.19114,2.31155,2.66064,486,19.96,709,true,21,2.88,24,1.65,46,1,1.5,41
3123,485.00,2711.56,4.23020,1.14577,2.16412,1.53517,485,16.54,641,true,21,2.76,42,1.95,107,1.2,2.4,56
2379,484.00,4556.77,6.18286,1.18314,3.21085,2.22577,484,22.75,737,false,22,2.88,58,1.8,103,1.9,2.25,96
1100,483.00,2888.45,4.15604,1.17570,2.97524,1.79080,483,17.65,695,false,13,2.88,46,2.4,69,1.2,1.65,46
2510,482.00,4394.81,7.49968,1.18652,2.68217,1.82390,482,20.30,586,true,19,2.76,67,1.65,37,3,4.05,51
2318,482.00,5275.62,8.45452,1.23146,2.80241,2.28896,482,19.31,624,true,33,2.76,25,1.8,38,1,3.3,76
2731,479.00,4177.59,6.10759,1.18764,2.72988,2.27206,479,16.52,684,true,35,2.88,32,1.65,103,1.7,1.95,21
2088,477.00,6247.03,8.19820,1.19099,2.42786,2.53427,477,22.94,762,false,34,2.76,135,1.5,100,1.3,2.7,6
1879,476.00,4960.33,7.35954,1.22603,3.54388,2.17839,476,23.38,674,false,13,2.76,25,1.65,83,1.8,2.7,26
2206,474.00,6089.55,7.37234,1.18701,2.74600,2.53906,474,21.15,826,false,44,3,54,1.65,42,2.5,1.8,16
1986,474.00,6089.55,7.37234,1.18701,2.74600,2.53906,474,21.15,826,false,44,3,54,1.65,66,2.5,1.8,16
1766,474.00,4357.21,6.78693,1.22650,3.81863,1.98485,474,19.92,642,true,26,2.76,59,2.25,136,2.3,2.4,11
1746,474.00,6089.55,7.37234,1.18701,2.74600,2.53906,474,21.15,826,false,44,3,54,1.65,128,2.5,1.8,16
1545,474.00,4357.21,6.78693,1.22650,3.81863,1.98485,474,19.92,642,true,26,2.76,59,2.25,120,2.3,2.4,11
1574,474.00,6089.55,7.37234,1.18701,2.74600,2.53906,474,21.15,826,false,44,3,54,1.65,55,2.5,1.8,16
2341,472.00,3233.60,5.57517,1.17340,2.58176,1.75002,472,19.69,580,true,11,2.76,86,1.65,106,1.7,2.7,36
2497,469.00,4908.65,5.68131,1.14835,2.87597,2.40955,469,20.20,864,false,104,2.88,97,1.5,42,1.7,1.95,21
1925,468.00,6578.76,8.64489,1.19063,2.36365,2.08761,468,33.25,761,false,127,2.88,69,1.5,82,1,4.5,26
1790,468.00,5018.14,7.44531,1.22970,3.49723,2.22438,468,23.95,674,false,13,2.76,20,1.65,78,1.7,2.7,36
1742,468.00,6213.34,11.35894,1.23213,2.76250,1.81898,468,28.63,547,true,27,2.76,125,1.5,55,2.1,14.1,1
1582,468.00,5018.14,7.44531,1.22970,3.49723,2.22438,468,23.95,674,false,13,2.76,25,1.65,83,1.7,2.7,36
1454,468.00,5018.14,7.44531,1.22970,3.49723,2.22438,468,23.95,674,false,13,2.76,25,1.65,56,1.7,2.7,36
1368,468.00,6213.34,11.35894,1.23213,2.76250,1.81898,468,28.63,547,true,27,2.76,125,1.5,128,2.1,14.1,1
2396,467.00,4918.68,5.69292,1.14849,2.86747,2.37417,467,20.33,864,false,104,2.88,97,1.5,106,1.7,1.95,11
1768,467.00,4918.68,5.69292,1.14849,2.86747,2.37417,467,20.33,864,false,104,2.88,97,1.5,42,1.7,1.95,11
2307,465.00,3873.19,5.46289,1.15185,2.32307,2.16515,465,19.30,709,true,40,2.88,46,1.5,119,1.7,1.95,21
2338,464.00,6100.78,6.98030,1.17249,2.50762,2.54874,464,22.24,874,false,104,2.88,97,1.5,42,2.5,1.8,16
2131,464.00,5349.53,9.58697,1.21029,2.80333,1.72083,464,26.36,558,true,27,2.76,125,1.5,80,1.3,8.4,66
1756,464.00,5349.53,9.58697,1.21029,2.80333,1.72083,464,26.36,558,true,27,2.76,125,1.5,128,1.3,8.4,66
2565,463.00,4896.23,7.30781,1.18646,2.26812,2.21528,463,20.44,670,true,33,2.76,67,1.65,34,2.3,2.4,11
2224,463.00,4896.23,7.30781,1.18646,2.26812,2.21528,463,20.44,670,true,33,2.76,67,1.65,114,2.3,2.4,11
1911,463.00,4896.23,7.30781,1.18646,2.26812,2.21528,463,20.44,670,true,33,2.76,67,1.65,37,2.3,2.4,11
1040,463.00,6314.37,7.51711,1.15798,2.46306,2.40536,463,21.69,840,false,104,2.88,97,1.5,42,2.3,2.4,11
2564,462.00,3356.45,6.15862,1.15359,2.59546,2.14313,462,19.54,545,true,26,2.76,25,1.65,82,1.7,1.95,101
1934,462.00,3905.85,6.42410,1.19006,2.70331,1.83435,462,19.89,608,true,19,2.76,36,1.8,114,1.1,3,41
1886,462.00,5761.03,7.84882,1.21854,2.57659,2.45438,462,24.84,734,false,26,3,135,1.5,100,2.3,2.4,11
1951,459.00,5399.90,7.38700,1.19746,3.39034,1.84352,459,21.51,731,false,44,3,38,1.8,23,3,3.6,16
2087,457.00,5217.01,8.65176,1.21905,2.90931,2.06663,457,19.07,603,true,33,2.76,67,1.65,103,2,4.05,66
3869,456.00,4654.01,6.71574,1.17912,2.16977,2.42449,456,21.77,693,true,23,2.76,125,1.5,119,1.7,1.95,11
363,452.00,5693.49,10.25854,1.21826,2.65655,1.76732,452,28.62,555,true,27,2.76,125,1.5,128,2.4,10.05,96
3189,448.00,5402.51,7.21296,1.20639,2.66731,2.61223,448,22.35,749,false,26,3,135,1.5,100,1.7,1.95,11
2971,448.00,3113.01,4.41562,1.15114,2.26060,2.02624,448,18.66,705,true,27,2.76,13,1.65,131,1.2,1.65,46
2710,448.00,3113.01,4.41562,1.15114,2.26060,2.02624,448,18.66,705,true,27,2.76,50,1.65,103,1.2,1.65,46
2660,448.00,3113.01,4.41562,1.15114,2.26060,2.02624,448,18.66,705,true,27,2.76,86,1.65,106,1.2,1.65,46
2696,444.00,3050.95,4.26110,1.14133,2.28368,2.13835,444,17.05,716,true,33,2.76,67,1.65,37,1,1.5,41
2315,443.00,5044.36,6.74380,1.17644,2.71692,2.07333,443,19.29,748,false,34,2.76,20,1.65,129,1.3,2.7,6
2608,442.00,4398.29,7.60950,1.22589,3.30138,2.08887,442,21.71,578,true,14,2.76,105,1.5,26,1,3.3,76
1682,442.00,5272.58,9.80034,1.27582,3.40333,2.08238,442,25.81,538,true,14,2.76,105,1.5,26,1.5,5.25,16
1556,442.00,6861.01,9.38579,1.18953,2.22822,2.74441,442,24.26,731,true,122,2.88,62,1.65,79,2.3,2.4,11
1971,439.00,5288.74,5.96923,1.16168,2.79154,2.85306,439,20.82,886,false,104,2.88,49,1.65,138,1.2,1.65,46
1026,439.00,5083.69,5.75078,1.15396,2.57014,2.88563,439,21.98,884,false,104,2.88,97,1.5,42,1.2,1.65,46
2319,437.00,5317.63,6.64704,1.17739,2.45075,2.34087,437,20.71,800,false,22,2.76,135,1.5,100,2.5,1.8,16
