Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,Inp_IchimokuFilter_Enabled,InpRange3_Execution_Timeframe,InpRange3_TrendFilter_Timeframe,InpRange3_ATR_Period,InpRange3_ATR_Multiplier,InpRange3_SL_ATR_Period,InpRange3_SL_ATR_Multiplier,InpRange3_Trailing_ATR_Period,InpRange3_Trailing_ATR_Multiplier,InpRange3_RR_Ratio,InpRange3_PartialClosePercent
3044,31.00,1494.13,2.36413,1.07967,1.22592,0.78545,31,21.75,632,true,30,6,128,1.56,67,2.55,89,2.7,13.35,21
231,31.00,2419.10,3.01258,1.07534,1.31597,0.80118,31,26.00,803,false,10,16390,82,2.16,76,2.85,59,2.6,11.25,86
1465,30.00,2404.54,3.22324,1.07524,1.14470,0.88609,30,27.06,746,false,30,15,93,1.8,49,1.65,69,2.9,9.3,17
1390,30.00,2697.15,3.16567,1.07552,1.28063,0.80972,30,30.77,852,false,12,4,81,1.68,61,2.4,59,2.3,8.85,29
1396,30.00,1803.16,2.39464,1.07406,1.14831,0.78559,30,26.17,753,false,30,16386,16,1.68,116,2.4,25,2.9,6.9,62
399,30.00,3047.48,3.28039,1.07512,1.02917,0.77628,30,38.57,929,false,10,16408,29,1.44,100,2.55,85,2.9,8.7,71
1667,29.00,863.77,1.88185,1.08359,1.08876,0.87242,29,13.34,459,false,16385,16386,29,2.76,111,2.4,114,2.4,6.6,18
781,29.00,3077.13,3.34835,1.07651,1.09384,0.77682,29,35.76,919,false,10,15,21,1.68,118,2.85,98,1.3,9.6,84
855,29.00,1414.65,1.76171,1.06847,1.36599,0.76736,29,14.66,803,false,16385,49153,68,1.32,135,1.65,69,2.9,2.1,93
80,28.00,1736.00,2.32396,1.07533,1.27889,0.84991,28,21.88,747,false,30,4,115,1.92,135,2.25,41,1.6,3.6,79
4246,27.00,2305.77,2.41695,1.06588,1.21857,0.74241,27,29.42,954,false,0,16408,60,1.2,99,1.65,22,2.3,4.2,64
1994,27.00,1940.03,2.48086,1.07763,1.07079,0.70575,27,30.97,782,false,12,32769,94,2.4,55,3,35,1.5,7.35,13
678,27.00,3241.94,3.52768,1.08037,1.04726,0.80471,27,38.33,919,false,10,15,21,1.68,39,2.7,98,1.3,9.6,84
695,26.00,2658.42,2.91493,1.06702,1.04680,0.66690,26,35.62,912,false,10,16390,33,1.32,93,2.4,117,2.8,13.05,100
1566,25.00,1767.06,3.58430,1.09467,1.06087,1.13830,25,21.27,493,true,20,20,43,2.76,44,2.25,103,1.6,5.4,44
1229,25.00,1664.21,1.82279,1.06058,1.03458,0.66034,25,29.13,913,false,20,10,41,1.44,112,1.8,32,1,3.15,56
812,25.00,1739.49,2.28880,1.06610,1.10318,0.65526,25,25.03,760,false,20,16390,49,1.8,49,2.25,20,1.7,15,93
772,25.00,1472.63,2.23126,1.07063,1.20028,0.76062,25,20.40,660,false,16385,5,24,1.68,136,1.65,31,1.3,8.7,3
1817,24.00,1103.29,2.02068,1.07276,1.01080,0.75760,24,18.62,546,true,30,3,97,2.88,106,2.55,71,2.1,10.5,73
768,24.00,2581.65,3.18722,1.07280,1.03276,0.80791,24,35.75,810,true,10,2,27,2.16,77,2.55,79,1.3,8.25,16
3060,23.00,2302.89,2.27783,1.08823,1.01836,1.27754,23,34.88,1011,false,0,0,38,1.92,47,1.65,7,2.6,1.5,64
2051,22.00,2049.78,1.98815,1.06390,1.01754,0.78076,22,34.41,1031,false,0,0,123,1.32,97,1.65,7,1.8,3.15,64
1207,22.00,2055.78,2.37388,1.06038,1.03709,0.62220,22,25.49,866,false,20,16390,89,1.32,26,2.1,118,1.7,15,93
931,22.00,1816.13,2.35861,1.06585,1.16622,0.67451,22,20.01,770,false,12,16408,101,2.64,68,2.85,70,1.4,7.35,8
871,22.00,2010.77,2.68820,1.07098,1.06411,0.70733,22,26.66,748,true,15,3,111,1.68,48,2.55,117,2.8,13.05,93
279,22.00,2055.78,2.37388,1.06038,1.03709,0.62220,22,25.49,866,false,20,16390,89,1.32,26,2.1,20,1.7,15,93
358,20.00,1743.55,2.84894,1.08037,1.08620,0.82695,20,24.12,612,true,12,10,45,2.04,11,3,46,1.4,7.05,22
1185,18.00,2150.31,2.56294,1.07293,1.14128,0.70931,18,29.54,839,false,0,4,37,1.44,61,2.4,66,2.2,10.2,91
734,18.00,2150.31,2.56294,1.07293,1.14128,0.70931,18,29.54,839,false,0,4,37,1.44,76,2.4,66,2.2,10.2,91
1158,17.00,1983.05,2.61271,1.07236,1.05557,0.75154,17,28.72,759,false,12,49153,75,2.4,94,2.4,92,1.6,6.75,13
287,17.00,2386.80,2.73089,1.07158,1.04386,0.67002,17,35.35,874,false,0,16385,115,1.44,75,2.1,122,2,13.2,13
2387,15.00,1291.09,1.90990,1.06361,1.12818,0.64859,15,20.08,676,false,16385,5,75,1.56,34,1.5,31,1.3,8.7,3
1402,15.00,2101.59,2.33770,1.07066,1.17585,0.82352,15,27.18,899,true,15,1,29,1.68,67,2.1,19,2.2,2.85,2
1138,15.00,2101.59,2.33770,1.07066,1.17585,0.82352,15,27.18,899,true,15,1,29,1.68,35,2.1,19,2.2,2.85,2
1077,15.00,2151.87,4.10662,1.11944,1.48744,1.28864,15,19.15,524,true,20,16385,44,1.32,7,2.7,127,2.8,3.9,48
958,14.00,862.96,1.87193,1.08260,1.01379,0.87972,14,14.16,461,false,16385,16386,29,2.76,111,2.4,89,2.7,4.95,17
5238,12.00,2371.23,2.23912,1.07661,1.00825,0.95344,12,38.76,1059,false,0,16408,61,1.2,99,1.65,70,2.3,2.55,64
4146,8.00,2599.12,2.59912,1.07354,1.01164,0.87493,8,38.95,1000,false,0,16388,107,1.44,70,1.5,71,2.4,4.05,35
